District,Murder,Robbery,Theft,Total_IPC_Crime
2,3,11,16,144
Alluri Sitharama Raju,29,0,0,1009
Anakapalli,24,0,0,5747
Anantapuramu,44,0,0,5915
Annamayya,45,0,0,3738
Bapatla,74,0,0,6138
Chittoor,47,0,0,6025
Dr BR Ambedkar Konaseema,24,0,0,5101
East Godavari,24,0,0,5921
Eluru,37,0,0,7702
Guntakal Railway,2,0,0,592
Guntur,50,0,1,8059
Kakinada,23,0,0,4363
Krishna,33,0,0,6229
Kurnool,38,0,0,7860
Nandyal,33,0,0,4161
NTR,35,0,0,11157
Palnadu,44,0,1,4554
Parvathipuram Manyam,5,0,0,2734
Prakasam,48,0,3,7609
Sri Potti Sriramulu Nellore,53,0,1,6007
Sri Sathya Sai,30,0,2,5684
Srikakulam,26,0,0,8620
Tirupati,38,0,0,6126
Viiayawada Railway,2,0,0,1213
Visakhapatnam,24,0,0,5186
Vizianagaram,21,0,0,6489
West Godavari,17,0,0,2325
YSR,52,0,0,7603
Anjaw,0,0,0,31
Changlang,1,0,0,84
Crime Branch,0,0,0,3
Dibang Valley,1,0,0,7
Kameng East,1,0,0,130
Kameng West,4,0,0,89
Kurung Kumey,1,0,0,28
Lohit,1,0,0,82
Longding,0,0,0,54
Lower Dibang Valley,2,0,0,68
Papum Pare City,6,0,0,918
Papum Pare Rural,2,0,0,134
Siang East,6,0,0,227
Siang Upper,1,0,0,44
Siang West,2,0,0,97
Subansiri Lower,3,0,0,50
Subansiri Upper,1,0,0,81
Tawang,2,0,0,28
Tirap,4,0,0,29
Namsai,10,0,0,118
Siang,1,0,0,35
Kamle,3,0,0,22
Kra Dadi,0,0,0,24
Lower Siang,1,0,0,42
Leparada,1,0,0,44
Shiyomi,1,0,0,20
Pakkessang,2,0,0,16
BIEO,0,0,0,18
Barpeta,32,0,0,1338
Baksa,12,0,0,394
Bongaigaon,19,0,0,1263
CID,0,0,0,12
Cachar,44,0,0,4480
Chirang,13,0,0,384
Darrang,31,0,0,1441
Dhemaji,20,0,0,541
Dhubri,30,0,1,1563
Dibrugarh,54,0,0,1661
GRP,12,0,0,654
Goalpara,26,0,0,1236
Golaghat,37,0,0,870
Guwahati City,67,0,0,8263
Hailakandi,13,0,0,1183
Hamren,2,0,0,167
Jorhat,34,0,0,1048
Kamrup,57,0,0,4308
Karbi Anglong,19,0,0,448
Karimganj,35,0,1,2190
Kokrajhar,29,0,0,869
Lakhimpur,32,0,0,1154
Morigaon,25,0,0,1591
Dima Hasao,12,0,0,161
Nagaon,49,0,0,2836
Nalbari,20,0,0,1409
RPO,0,0,0,0
SOU,0,0,0,0
STF,0,0,0,7
Sibsagar,21,0,0,373
Sonitpur,47,0,0,1649
Tinsukia,60,0,0,1676
Udalguri,25,0,0,758
Sadia,4,0,0,158
Majuli,2,0,0,193
Biswanath,48,0,0,690
Hojai,31,0,0,1291
South Salmara,19,0,0,619
Charaideo,25,0,0,348
Bajali,11,0,0,378
Tamulpur,8,0,0,262
Araria,74,0,0,5149
Arwal,18,0,207,1577
Aurangabad,67,0,0,4705
Bagaha,41,0,0,2065
Banka,52,0,0,3922
Begusarai,87,0,0,5181
Bettiah,61,0,0,6013
Kaimur(Bhabhua),38,0,0,3162
Bhagalpur,62,0,0,6233
Bhojpur,98,0,0,5950
Buxar,47,0,35,3583
Darbhanga,60,0,0,5599
Gaya,102,0,104,11626
Gopalganj,39,0,1,5287
Jamalpur Railway,4,0,0,622
Jamui,46,0,0,3270
Jehanabad,27,0,15,2764
Katihar,63,0,0,4200
Katihar Railway,5,0,0,519
Khagaria,57,0,0,4327
Kishanganj,28,0,0,1749
Lakhisarai,31,0,0,2296
Madhepura,86,0,0,4253
Madhubani,82,0,0,5442
Motihari,155,0,0,10991
Munger,43,0,114,3114
Muzaffarpur,134,0,0,11323
Muzaffarpur Railway,6,0,0,938
Nalanda,99,0,3,8382
Naugachia,28,0,0,1755
Nawadah,54,0,0,5647
Patna,290,0,0,28475
Patna Railway,9,0,0,2148
Purnea,75,0,0,6199
Rohtas,105,0,0,6527
Saharsa,46,0,0,3162
Samastipur,85,0,0,6828
Saran,114,0,0,11912
Sheikhpura,26,0,3,1417
Sheohar,9,0,2,928
Sitamarhi,70,0,8,5619
Siwan,65,0,0,6277
Supaul,60,0,0,3677
Vaishali,114,0,3,6799
Economic Offences Unit,0,0,0,15
Anti Terrorist Squad,0,0,0,0
Balod,13,0,0,1488
Balodbazar,18,5,1,3179
Balrampur,49,0,0,1338
Bemetra,11,0,0,1348
Bilaspur,32,0,0,7265
Bizapur,34,0,0,379
Dantewara,25,0,0,444
Dhamtari,27,0,0,1852
Durg,47,0,0,6485
Gariyaband,21,0,0,1603
GRP Raipur,0,0,0,479
Jagdalpur,25,0,0,1364
Janjgir,30,0,1,3235
Jashpur,71,0,0,1290
Kabirdham,21,0,0,1661
Kanker,40,0,0,1182
Kondagaon,9,0,0,722
Korba,36,0,0,3101
Koriya,22,0,0,835
Mahasamund,18,0,0,1534
Mungali,9,0,0,991
Narayanpur,22,0,0,245
Raigarh,65,0,0,3368
Raipur,63,0,0,9892
Rajnandgaon,21,0,0,2023
Sarguja,58,0,0,2349
Sukma,21,0,0,294
Surajpur,59,0,0,1830
Gaurela-Pendra-Marwari,12,0,0,913
Khairagarh - Chhuikhadan-Gandai,10,0,0,933
Manendragarh-Chirmiri-Bharatpur,17,0,0,1591
Mohla-Manpur-Ambagarh Chouki,7,0,0,332
Sakti,20,0,0,1077
Sarangarh-Bilaigarh,25,0,0,1339
North Goa,16,0,1,1228
South Goa,10,0,0,800
CID,0,0,0,66
Ahmedabad City,109,0,6,29238
Ahmedabad Rural,30,0,0,4569
Amreli,19,0,1,2365
Anand,22,0,30,3888
Arvalli,5,0,0,2455
Banaskantha,40,0,1,5136
Bharuch,28,0,3,5180
Bhavnagar,34,0,0,3178
Botad,16,0,0,1391
Chhotaudepur,14,0,0,3319
CID Crime,0,0,0,51
Dahod,20,0,0,3709
Dang,4,0,0,335
Devbhumi Dwarka,3,0,6,1633
Gandhinagar,22,0,1,4074
Gir Somnath,11,0,0,1699
Jamnagar,24,0,1,4747
Junagadh,22,0,5,2819
Kachchh East(G),23,0,1,2564
Kachchh West(B),21,0,0,3358
Kheda,27,0,1,3894
Mahisagar,11,0,0,1351
Mehsana,25,0,1,3266
Morbi,30,0,2,4287
Narmada,7,0,0,2930
Navsari,17,0,0,4726
Panchmahal,29,0,0,3840
Patan,15,0,0,3751
Porbandar,14,0,1,983
Rajkot City,37,0,12,5368
Rajkot Rural,32,0,1,2809
Sabarkantha,23,0,1,3757
Surat City,89,0,3,11453
Surat Rural,32,0,2,6114
Surendranagar,28,0,3,3722
Tapi,13,0,2,3400
Vadodara City,18,0,1,4320
Vadodara Rural,25,0,0,5522
Valsad,25,0,0,6847
W Rly Ahmedabad,2,0,0,1271
W Rly Vadodara,2,0,0,1228
Cyber Ahmedabad Range,0,0,0,26
Cyber Bhavnagar Range,0,0,0,7
Cyber Border Range,0,0,0,9
Cyber Gandhinagar Range,0,0,0,12
Cyber Junagadh Range,0,0,0,41
Cyber Panchmahal Range,0,0,0,1
Cyber Rajkot Range,0,0,0,2
Cyber Surat Range,0,0,0,10
Cyber Vadodara Range,0,0,0,2
Ambala,26,0,6,4892
Bhiwani,42,0,0,4019
Faridabad,96,0,1,10294
Fatehabad,24,0,1,3440
GRP,16,0,0,1387
Gurugram,82,1,1,15863
Hissar,54,1,3,8092
Jhajjar,61,0,3,3695
Jind,48,0,0,4175
Kaithal,34,0,0,3367
Karnal,61,0,74,9805
Kurukshetra,26,0,3,4678
Mahendergarh,28,0,0,3389
Nuh,30,0,0,3011
Palwal,52,0,1,4299
Panchkula,8,0,2,3032
Panipat,63,0,17,8003
Rewari,32,0,3,3910
Rohtak,59,1,40,6358
Sirsa,36,0,1,5426
Sonipat,93,0,32,7040
Yamunanagar,37,0,7,5850
Irrigation & Power,0,0,0,1686
Charkhi Dadri,15,2,0,1539
Hansi,19,0,0,2044
Baddi,7,0,0,753
Bilaspur,7,0,0,1077
Chamba,8,0,0,597
CID,0,0,0,16
GRP,1,0,0,19
Hamirpur,3,0,0,873
Kangra,9,0,0,1901
Kinnaur,2,0,0,268
Kullu,7,0,0,811
Lahaul & Spiti,1,0,0,80
Mandi,11,0,0,1907
Shimla,14,0,1,1655
