District,total_crime,risk_score
2,144.0,0.3209056671049406
ATS & SOG,24.0,0.053484277850823436
Adilabad,2527.0,5.631448755376285
Agar,2062.0,4.59519087201658
Agra,11725.0,26.12929824170436
Ahmedabad City,29238.0,65.15722149176565
Ahmedabad Rural,4569.0,10.182069395850512
Ahmednagar,19422.0,43.28215185077887
Aizawl,2195.0,4.891582911773227
Ajmer,5687.0,12.673545339068038
Akola,5582.0,12.439551623470683
Alapuzha,11945.0,26.61957078867025
Aligarh,13777.0,30.702203997949766
Alipurduar,2119.0,4.722216031912286
Alirajpur,2047.0,4.561763198359816
Alluri Sitharama Raju,1009.0,2.2485681813117018
Almora,280.0,0.62398324159294
Alwar,9638.0,21.478394580259845
Ambala,4892.0,10.90187863525951
Ambedkar Nagar,4058.0,9.043299979943397
Amethi,2744.0,6.115035767610813
Amravati Commr,4656.0,10.375949903059746
Amravati Rural,8160.0,18.184654469279966
Amreli,2365.0,5.270429879883226
Amritsar Rural,1823.0,4.0625766050854635
Amroha,3954.0,8.81153477592316
Anakapalli,5747.0,12.807256033695094
Anand,3888.0,8.664453011833396
Anantapuramu,5915.0,13.181645978650858
Anantnag,1303.0,2.903750584984289
Angul,9796.0,21.830499409444432
Anjaw,31.0,0.06908385889064694
Annamayya,3738.0,8.33017627526575
Anti Narcotic Task Force Jammu,0.0,0.0
Anti Narcotic Task Force Kashmir,0.0,0.0
Anti Terrorist Squad,0.0,0.0
Anupgarh,2428.0,5.410826109241638
Anuppur,1986.0,4.425823992155639
Araria,5149.0,11.474606110578744
Ariyalur,1836.0,4.091547255587993
Arvalli,2455.0,5.470995921823814
Arwal,1577.0,3.5143627571145233
Asansol-Durgapur PC,4568.0,10.179840884273393
Ashok Nagar,3000.0,6.68553473135293
Auraiya,3690.0,8.223207719564103
Aurangabad,4705.0,10.48514697033851
Avadi,4522.0,10.077329351725982
Awantipora,495.0,1.1031132306732334
Ayodhya,5499.0,12.25458516256992
Azamgarh,9332.0,20.796470037661845
BIEO,18.0,0.04011320838811758
Badaun,5639.0,12.56657678336639
Baddi,753.0,1.6780692175695853
Bagaha,2065.0,4.601876406747933
Bagalkot,2317.0,5.163461324181579
Bageshwar,118.0,0.2629643660998819
Baghpat,3281.0,7.3117464845229865
Bahraich,8485.0,18.9089207318432
Bajali,378.0,0.8423773761504691
Baksa,394.0,0.8780335613843514
Balaghat,3523.0,7.851046286185456
Balasore,6933.0,15.45027076415662
Ballari,2053.0,4.575134267822521
Ballia,5256.0,11.713056849330332
Balod,1488.0,3.316025226751053
Balodbazar,3179.0,7.084438303656987
Balotra,2142.0,4.773471798185992
Balrampur,2367.0,5.274886903037461
Banaskantha,5136.0,11.445635460076215
Banda,4516.0,10.063958282263275
Bandipora,468.0,1.0429434180910568
Bangaon,3004.0,6.694448777661401
Banka,3922.0,8.740222405455397
Bankura,3226.0,7.1891783477815165
Banswara,3249.0,7.240434114055222
Bapatla,6138.0,13.678604060348093
Barabanki,7537.0,16.796291756735677
Baragarh,3864.0,8.610968733982572
Baramulla,1104.0,2.4602767811378783
Baran,3731.0,8.314576694225927
Barasat,5395.0,12.022819958549686
Bareilly,9728.0,21.67896062220043
Barmer,3088.0,6.881643750139283
Barnala,1021.0,2.275310320237114
Barpeta,1338.0,2.9817484901834064
Barrackpur PC,9539.0,21.2577719341252
Baruipur Police,7837.0,17.46484522987097
Barwani,3404.0,7.585853408508457
Basirhat,3586.0,7.991442515543869
Basti,3549.0,7.908987587190515
Batala,1203.0,2.6808994272725246
Bathinda,2445.0,5.448710806052637
Beawar,4302.0,9.5870568047601
Beed,7062.0,15.737748757604797
Begusarai,5181.0,11.54591848104651
Belagavi City,1694.0,3.7750986116372878
Belagavi District,4955.0,11.042274864617923
Bemetra,1348.0,3.004033605954583
Bengaluru City,41637.0,92.78853653644731
